bairro,microrregiao
Aflitos,3.1
Afogados,5.1
Alto Do Mandu,3.1
Alto José Bonifácio,3.2
Alto José Do Pinho,3.2
Alto Santa Teresinha,2.2
Apipucos,3.1
Areias,5.2
Arruda,2.1
Barro,5.3
Beberibe,2.2
Boa Viagem,6.1
Boa Vista,1.2
Bomba Do Hemetério,2.2
Bongi,5.1
Brasília Teimosa,6.1
Brejo Da Guabiraba,3.3
Brejo De Beberibe,3.3
Cabanga,1.2
Cajueiro,2.2
Campina Do Barreto,2.1
Campo Grande,2.1
Casa Amarela,3.1
Casa Forte,3.1
Caxangá,4.3
Caçote,5.2
Cidade Universitária,4.3
Coelhos,1.3
Cohab,6.3
Coqueiral,5.3
Cordeiro,4.1
Curado,5.3
Córrego Do Jenipapo,3.3
Derby,3.1
Dois Irmãos,3.1
Dois Unidos,2.2
Encruzilhada,2.1
Engenho Do Meio,4.2
Espinheiro,3.1
Estância,5.2
Fundão,2.2
Graças,3.1
Guabiraba,3.3
Hipódromo,2.1
Ibura,6.2
Ilha Do Leite,1.2
Ilha Do Retiro,4.1
Ilha Joana Bezerra,1.3
Imbiribeira,6.1
Ipsep,6.1
Iputinga,4.1
Jaqueira,3.1
Jardim São Paulo,5.3
Jiquiá,5.2
Jordão,6.2
Linha Do Tiro,2.2
Macaxeira,3.3
Madalena,4.1
Mangabeira,3.2
Mangueira,5.1
Monteiro,3.1
Morro Da Conceição,3.2
Mustardinha,5.1
Nova Descoberta,3.3
Paissandu,1.2
Parnamirim,3.1
Passarinho,3.3
Pau-Ferro,3.3
Peixinhos,2.1
Pina,6.1
Ponto De Parada,2.1
Porto Da Madeira,2.2
Poço,3.1
Prado,4.1
Recife,1.1
Rosarinho,2.1
San Martin,5.1
Sancho,5.3
Santana,3.1
Santo Amaro,1.1
Santo Antônio,1.2
Soledade,1.2
São José,1.2
Sítio Dos Pintos,3.1
Tamarineira,3.1
Tejipió,5.3
Torre,4.1
Torreão,2.1
Torrões,4.2
Totó,5.3
Vasco Da Gama,3.2
Várzea,4.3
Zumbi,4.1
Água Fria,2.2
