bairro,densidade_ego
Soledade,1.0
Fundão,1.0
Hipódromo,1.0
Aflitos,1.0
Vasco da Gama,1.0
Brejo da Guabiraba,1.0
Pau-Ferro,1.0
Sítio dos Pintos,1.0
Brasília Teimosa,1.0
Estância,0.8333333333333334
Totó,0.8333333333333334
Coqueiral,0.8333333333333334
Ilha do Leite,0.8333333333333334
Cohab,0.8333333333333334
Ipsep,0.8333333333333334
Jordão,0.8333333333333334
Derby,0.8
Cidade Universitária,0.8
Zumbi,0.8
Jaqueira,0.8
Casa Forte,0.8
Santo Antônio,0.8
Rosarinho,0.8
Torreão,0.8
Mustardinha,0.8
Torrões,0.8
Mangueira,0.8
Sancho,0.8
Beberibe,0.7
Alto José do Pinho,0.7
Boa Viagem,0.7
Poço,0.7
Várzea,0.7
Cabanga,0.6666666666666666
Peixinhos,0.6666666666666666
Coelhos,0.6666666666666666
Recife,0.6666666666666666
Alto Santa Teresinha,0.6666666666666666
Bongi,0.6666666666666666
Caçote,0.6666666666666666
Engenho do Meio,0.6666666666666666
Mangabeira,0.6666666666666666
Morro da Conceição,0.6666666666666666
Macaxeira,0.6666666666666666
Porto da Madeira,0.6666666666666666
Cajueiro,0.6666666666666666
Córrego do Jenipapo,0.6666666666666666
Ponto de Parada,0.6190476190476191
Espinheiro,0.6190476190476191
Ilha do Retiro,0.6
Alto do Mandu,0.6
Tejipió,0.6
Passarinho,0.6
Santana,0.6
Dois Unidos,0.6
Dois Irmãos,0.6
Ilha Joana Bezerra,0.6
Linha do Tiro,0.6
Prado,0.5714285714285714
Parnamirim,0.5714285714285714
Monteiro,0.5333333333333333
Bomba do Hemetério,0.5333333333333333
Areias,0.5333333333333333
Caxangá,0.5333333333333333
Brejo de Beberibe,0.5333333333333333
Jiquiá,0.5333333333333333
Imbiribeira,0.5333333333333333
Barro,0.5333333333333333
Paissandu,0.5238095238095238
Jardim São Paulo,0.5238095238095238
Madalena,0.5
Pina,0.5
Torre,0.5
Alto José Bonifácio,0.5
Nova Descoberta,0.5
Campina do Barreto,0.5
Encruzilhada,0.5
Santo Amaro,0.4761904761904761
Iputinga,0.4761904761904761
São José,0.4642857142857143
Arruda,0.4642857142857143
Campo Grande,0.4642857142857143
Ibura,0.4642857142857143
Tamarineira,0.4444444444444444
Apipucos,0.4285714285714285
San Martin,0.4166666666666667
Guabiraba,0.4
Água Fria,0.3928571428571428
Graças,0.3818181818181818
Curado,0.3777777777777777
Cordeiro,0.3777777777777777
Boa Vista,0.3636363636363636
Afogados,0.3333333333333333
Casa Amarela,0.3272727272727272
