bairro,grau
Boa Vista,10
Casa Amarela,10
Graças,10
Cordeiro,9
Curado,9
Afogados,9
San Martin,8
Tamarineira,8
Encruzilhada,8
Madalena,7
São José,7
Água Fria,7
Campo Grande,7
Arruda,7
Ibura,7
Torre,7
Jardim São Paulo,6
Apipucos,6
Prado,6
Iputinga,6
Parnamirim,6
Espinheiro,6
Ponto de Parada,6
Santo Amaro,6
Paissandu,6
Dois Unidos,5
Linha do Tiro,5
Bomba do Hemetério,5
Coelhos,5
Barro,5
Engenho do Meio,5
Ilha do Retiro,5
Areias,5
Tejipió,5
Imbiribeira,5
Jiquiá,5
Bongi,5
Brejo de Beberibe,5
Mangabeira,5
Monteiro,5
Caxangá,5
Santana,5
Pina,4
Santo Antônio,4
Rosarinho,4
Torreão,4
Beberibe,4
Sancho,4
Boa Viagem,4
Zumbi,4
Várzea,4
Torrões,4
Mustardinha,4
Mangueira,4
Jaqueira,4
Casa Forte,4
Dois Irmãos,4
Ilha Joana Bezerra,4
Campina do Barreto,4
Alto José do Pinho,4
Alto do Mandu,4
Alto José Bonifácio,4
Guabiraba,4
Poço,4
Cidade Universitária,4
Derby,4
Passarinho,4
Estância,3
Caçote,3
Coqueiral,3
Ilha do Leite,3
Recife,3
Cabanga,3
Totó,3
Morro da Conceição,3
Hipódromo,3
Porto da Madeira,3
Aflitos,3
Ipsep,3
Cohab,3
Jordão,3
Nova Descoberta,3
Macaxeira,3
Córrego do Jenipapo,3
Soledade,2
Alto Santa Teresinha,2
Sítio dos Pintos,2
Peixinhos,2
Cajueiro,2
Brejo da Guabiraba,2
Fundão,1
Pau-Ferro,1
Vasco da Gama,1
Brasília Teimosa,1
